"ds_queue_copy.htm+html.head.title:55-3","ds_queue_copy","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Queues%2Fds_queue_copy.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Queues%2Fds_queue_copy.htm"
"ds_queue_copy.htm+html.head.title:59-3","ds_queue_copy","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Queues%2Fds_queue_copy.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Queues%2Fds_queue_copy.htm"
"ds_queue_copy.htm+html.body.div.div.div[title]:73-7","ds_queue_copy","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Queues%2Fds_queue_copy.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Queues%2Fds_queue_copy.htm"
"ds_queue_copy.htm+html.body.div.div.div:73-7","ds_queue_copy","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Queues%2Fds_queue_copy.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Queues%2Fds_queue_copy.htm"
#CSV_COMMENT_OUT#"ds_queue_copy.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"ds_queue_copy.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"ds_queue_copy.htm+html.body.h1:86-3","ds_queue_copy","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Queues%2Fds_queue_copy.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Queues%2Fds_queue_copy.htm"
"ds_queue_copy.htm+html.body.p:87-3","This function can be used to copy the contents of one queue into another. Note that this does <i>NOT</i> remove the contents from the original queue, nor does it destroy the original queue. When using this function the queue being copied to must have been previously created and if it contained any items before the copy, then these will be cleared first (meaning this information will be lost).","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Queues%2Fds_queue_copy.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Queues%2Fds_queue_copy.htm"
"ds_queue_copy.htm+html.body.h4:90-3","Syntax:","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Queues%2Fds_queue_copy.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Queues%2Fds_queue_copy.htm"
"ds_queue_copy.htm+html.body.p:91-3","ds_queue_copy(id, source);","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Queues%2Fds_queue_copy.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FData_Structures%2FDS_Queues%2Fds_queue_copy.htm"
