"file_bin_position.htm+html.head.title:55-3","file_bin_position","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FFile_Handling%2FBinary_Files%2Ffile_bin_position.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FFile_Handling%2FBinary_Files%2Ffile_bin_position.htm"
"file_bin_position.htm+html.head.title:59-3","file_bin_position","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FFile_Handling%2FBinary_Files%2Ffile_bin_position.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FFile_Handling%2FBinary_Files%2Ffile_bin_position.htm"
"file_bin_position.htm+html.body.div.div.div[title]:73-7","file_bin_position","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FFile_Handling%2FBinary_Files%2Ffile_bin_position.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FFile_Handling%2FBinary_Files%2Ffile_bin_position.htm"
"file_bin_position.htm+html.body.div.div.div:73-7","file_bin_position","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FFile_Handling%2FBinary_Files%2Ffile_bin_position.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FFile_Handling%2FBinary_Files%2Ffile_bin_position.htm"
#CSV_COMMENT_OUT#"file_bin_position.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"file_bin_position.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"file_bin_position.htm+html.body.h1:86-3","file_bin_position","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FFile_Handling%2FBinary_Files%2Ffile_bin_position.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FFile_Handling%2FBinary_Files%2Ffile_bin_position.htm"
"file_bin_position.htm+html.body.p:87-3","This function will returns the current position in bytes, where 0 is the first position, of the file with the given file id. You supply the file ID value, as returned by the function <a href=""file_bin_open.htm""><tt>file_bin_open()</tt></a>.","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FFile_Handling%2FBinary_Files%2Ffile_bin_position.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FFile_Handling%2FBinary_Files%2Ffile_bin_position.htm"
"file_bin_position.htm+html.body.p:88-3","<b>NOTE</b>: These functions <b>do not</b> work when the target module is HTML5.","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FFile_Handling%2FBinary_Files%2Ffile_bin_position.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FFile_Handling%2FBinary_Files%2Ffile_bin_position.htm"
"file_bin_position.htm+html.body.h4:90-3","Syntax:","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FFile_Handling%2FBinary_Files%2Ffile_bin_position.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FFile_Handling%2FBinary_Files%2Ffile_bin_position.htm"
