"instance_deactivate_all.htm+html.head.title:55-3","instance_deactivate_all","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm"
"instance_deactivate_all.htm+html.head.title:59-3","instance_deactivate_all","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm"
"instance_deactivate_all.htm+html.body.div.div.div[title]:73-7","instance_deactivate_all","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm"
"instance_deactivate_all.htm+html.body.div.div.div:73-7","instance_deactivate_all","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm"
#CSV_COMMENT_OUT#"instance_deactivate_all.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"instance_deactivate_all.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"instance_deactivate_all.htm+html.body.h1:86-3","instance_deactivate_all","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm"
"instance_deactivate_all.htm+html.body.p:87-3","This function will deactivate <b>all</b> instances that are in the room at the moment that the code is run. This may include the instance running the code if the ""notme"" flag is set to <tt>false</tt>, but normally you would want that instance to be active, in which case the ""notme"" flag should be set to <tt>true</tt>. Note that deactivation is not instantaneous, and an instance that has been deactivated in this way will not be considered to be inactive until the end of the event in which the function was called.","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm"
"instance_deactivate_all.htm+html.body.p:90-3","<b>NOTE</b>: If you deactivate an instance on room start (ie:from the room creation code, or from an instance create event of an instance within the room) all instances that are placed within the room from the room editor <b>will still run their create event</b> before being deactivated.","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm"
"instance_deactivate_all.htm+html.body.p:91-3","<b>WARNING</b>: Deactivating instances that have physics enabled will <b>NOT</b> stop their fixtures from interacting within the physics simulation. For that you should set their <span style=""font-size:1px;""><a href=""../../../Physics/Physics_Variables/phy_active.htm""><tt style=""font-size: 14px"">phy_active</tt></a></span> variable to <tt>true</tt> or <tt>false</tt> as you activate/deactivate the instances.","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm"
"instance_deactivate_all.htm+html.body.h4:94-3","Syntax:","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm"
"instance_deactivate_all.htm+html.body.p:95-3","instance_deactivate_all(notme);","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm"
"instance_deactivate_all.htm+html.body.table.tbody.tr.th:99-9","Argument","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm"
"instance_deactivate_all.htm+html.body.table.tbody.tr.th:100-9","Description","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm"
"instance_deactivate_all.htm+html.body.table.tbody.tr.td:103-9","notme","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm"
"instance_deactivate_all.htm+html.body.table.tbody.tr.td:104-9","Whether to keep the calling instance activated (true) or not (false).","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm"
"instance_deactivate_all.htm+html.body.h4:109-3","Returns:","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm"
"instance_deactivate_all.htm+html.body.p:110-3","N/A","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm"
"instance_deactivate_all.htm+html.body.h4:112-3","Example:","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm"
"instance_deactivate_all.htm+html.body.p:113-3","{ANY_CODE} instance_deactivate_all(true);<br /> var _vx = camera_get_view_x(view_camera[0]);<br /> var _vy = camera_get_view_y(view_camera[0]);<br /> var _vw = camera_get_view_width(view_camera[0]);<br /> var _vh = camera_get_view_height(view_camera[0]);<br /> instance_activate_region(_vx - 64, _vy - 64, _vw + 128, _vh + 128, false);","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm"
"instance_deactivate_all.htm+html.body.p:115-3","The above code deactivates all instances except the one that is running the code and then activates a region within the room.","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm"
"instance_deactivate_all.htm+html.body.div.div.div.div:122-9","Back: <a href=""Deactivating_Instances.htm"">Deactivating Instances</a>","","URL_EN : https://manual.yoyogames.com/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=GameMaker_Language%2FGML_Reference%2FAsset_Management%2FInstances%2FDeactivating_Instances%2Finstance_deactivate_all.htm"
